;;;;;1382,130952;;;37;44;44;37;34;35;33;38;42;32;;;0,854545455
CeBe PP;Nombre;Tipologia;Nombre del día;Hora;Trx;TRX/hora/prom;;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;trxdelta;;No Promotores por hora
1825PP023;La Casona;Motera;viernes;0,041666667;9,589323727;33,125;;;;;;X;;;;;;23,41067627;;1
1825PP023;La Casona;Motera;viernes;0,083333333;2,054855084;33,125;;;;;;X;;;;;;30,94514492;;1
1825PP023;La Casona;Motera;viernes;0,125;2,739806779;33,125;;;;;;X;;;;;;30,26019322;;1
1825PP023;La Casona;Motera;viernes;0,166666667;11,87249604;33,125;;;;;;X;;;;;;21,12750396;;1
1825PP023;La Casona;Motera;viernes;0,208333333;49,77315649;33,125;;;;;;X;X;;;;;16,22684351;;2
1825PP023;La Casona;Motera;viernes;0,25;88,58708586;33,125;;;;X;;X;X;;;;;10,41291414;;3
1825PP023;La Casona;Motera;viernes;0,291666667;99,08967851;33,125;;;;X;;X;X;;;;;-0,089678511;;3
1825PP023;La Casona;Motera;viernes;0,333333333;85,84727908;33,125;;;;X;;;X;X;;;;13,15272092;;3
1825PP023;La Casona;Motera;viernes;0,375;63,92882485;33,125;;;;X;;;X;X;;;;35,07117515;;3
1825PP023;La Casona;Motera;viernes;0,416666667;80,36766552;33,125;;;;;;;X;X;X;;;18,63233448;;3
1825PP023;La Casona;Motera;viernes;0,458333333;68,49516948;33,125;;;;;;;X;X;X;;;30,50483052;;3
1825PP023;La Casona;Motera;viernes;0,5;66,21199716;33,125;;;;;;;;X;X;;;-0,211997162;;2
1825PP023;La Casona;Motera;viernes;0,541666667;67,12526609;33,125;;;;;;;;X;X;;;-1,125266088;;2
1825PP023;La Casona;Motera;viernes;0,583333333;68,95180394;33,125;;;;;;;;X;X;;;-2,951803941;;2
1825PP023;La Casona;Motera;viernes;0,625;75,34468643;33,125;;;;;;;;X;X;X;;23,65531357;;3
1825PP023;La Casona;Motera;viernes;0,666666667;84,47737569;33,125;;;;;;;;;X;X;X;14,52262431;;3
1825PP023;La Casona;Motera;viernes;0,708333333;111,418809;33,125;;X;;;;;;;X;X;X;20,58119098;;4
1825PP023;La Casona;Motera;viernes;0,75;111,8754435;33,125;;X;;;;;;;X;X;X;20,12455652;;4
1825PP023;La Casona;Motera;viernes;0,791666667;97,71977512;33,125;;X;;;;;;;;X;X;1,280224879;;3
1825PP023;La Casona;Motera;viernes;0,833333333;87,67381693;33,125;;X;;;;;;;;X;X;11,32618307;;3
1825PP023;La Casona;Motera;viernes;0,875;29,22460564;33,125;;X;;;;;;;;;;3,775394356;;1
1825PP023;La Casona;Motera;viernes;0,916666667;14,61230282;33,125;;X;;;;;;;;;;18,38769718;;1
1825PP023;La Casona;Motera;viernes;0,958333333;14,61230282;33,125;;X;;;;;;;;;;18,38769718;;1
1825PP023;La Casona;Motera;sábado;0;4,990958041;33,125;;;X;;;;;;;;;28,00904196;;1
1825PP023;La Casona;Motera;sábado;0,041666667;4,083511125;33,125;;;X;;;;;;;;;28,91648888;;1
1825PP023;La Casona;Motera;sábado;0,083333333;4,083511125;33,125;;;X;;;;;;;;;28,91648888;;1
1825PP023;La Casona;Motera;sábado;0,125;3,402925937;33,125;;;X;;;;;;;;;29,59707406;;1
1825PP023;La Casona;Motera;sábado;0,166666667;11,34308646;33,125;;;X;;;;;;;;;21,65691354;;1
1825PP023;La Casona;Motera;sábado;0,208333333;41,74255816;33,125;;;X;X;;;;;;;;24,25744184;;2
1825PP023;La Casona;Motera;sábado;0,25;64,88245454;33,125;;;X;X;;;;;;;;1,117545464;;2
